epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,189.028,0.70882,0.51173,1.04946,0.965,0.98903,0.98808,0.85486,0.629,0.32882,1.03215,0.00102081,0.00102081,0.00102081
43,193.438,0.71362,0.52663,1.05186,0.94801,0.95777,0.98442,0.84595,0.63578,0.38092,1.03142,0.00101861,0.00101861,0.00101861
44,197.89,0.72951,0.55546,1.05588,0.89249,0.9269,0.96926,0.80667,0.69073,0.47871,1.09276,0.00101641,0.00101641,0.00101641
45,202.557,0.75657,0.55473,1.0695,0.94444,0.93431,0.9803,0.84447,0.62583,0.40969,1.02815,0.00101421,0.00101421,0.00101421
46,206.924,0.70533,0.49936,1.04473,0.97061,0.96512,0.98159,0.85099,0.61671,0.34436,1.02253,0.00101201,0.00101201,0.00101201
47,211.287,0.71436,0.49968,1.05383,0.91342,0.9194,0.97159,0.81056,0.69319,0.45443,1.0949,0.00100981,0.00100981,0.00100981
48,215.628,0.6952,0.50367,1.03405,0.9426,0.93726,0.98559,0.84793,0.63932,0.41041,1.0309,0.00100761,0.00100761,0.00100761
49,219.862,0.69105,0.51386,1.02987,0.90297,0.90254,0.97334,0.81729,0.69435,0.51938,1.09396,0.00100541,0.00100541,0.00100541
50,224.168,0.70102,0.4837,1.03911,0.97682,0.97624,0.98871,0.85999,0.59076,0.32109,1.00136,0.00100321,0.00100321,0.00100321
51,228.457,0.68508,0.47667,1.032,0.936,0.95329,0.97916,0.84121,0.62189,0.39145,1.01863,0.00100101,0.00100101,0.00100101
52,232.766,0.68816,0.48369,1.0403,0.90404,0.94403,0.96539,0.83883,0.622,0.42335,1.01251,0.000998811,0.000998811,0.000998811
53,237.33,0.69837,0.50619,1.04785,0.95683,0.95769,0.98279,0.84051,0.65098,0.37375,1.03346,0.000996611,0.000996611,0.000996611
54,241.782,0.70634,0.50718,1.05056,0.90717,0.88666,0.9577,0.7384,0.8605,0.49764,1.33681,0.000994412,0.000994412,0.000994412
55,246.019,0.69606,0.47848,1.03649,0.93392,0.95491,0.98202,0.84523,0.62284,0.36768,1.02915,0.000992212,0.000992212,0.000992212
56,250.551,0.70073,0.49968,1.04376,0.95262,0.90965,0.9748,0.84601,0.60999,0.411,1.00575,0.000990012,0.000990012,0.000990012
57,256.016,0.69819,0.49605,1.03924,0.91686,0.96731,0.9811,0.84286,0.6303,0.38608,1.03602,0.000987812,0.000987812,0.000987812
58,264.125,0.70199,0.49383,1.05211,0.98487,0.96622,0.98727,0.84914,0.60558,0.33846,1.00544,0.000985613,0.000985613,0.000985613
59,268.668,0.6995,0.47269,1.03163,0.94647,0.93203,0.97867,0.83033,0.66571,0.41,1.05299,0.000983413,0.000983413,0.000983413
60,274.152,0.6868,0.46782,1.03844,0.93033,0.92093,0.97887,0.84443,0.62198,0.39503,1.02736,0.000981213,0.000981213,0.000981213
61,284.111,0.69281,0.48052,1.04087,0.97824,0.96627,0.98696,0.85288,0.62864,0.3414,1.02593,0.000979013,0.000979013,0.000979013
62,294.079,0.68045,0.46383,1.03926,0.95887,0.9704,0.98473,0.85114,0.61761,0.33652,1.02234,0.000976813,0.000976813,0.000976813
63,303.955,0.67348,0.44551,1.02616,0.95803,0.96984,0.98835,0.84814,0.62247,0.34788,1.01595,0.000974614,0.000974614,0.000974614
64,313.707,0.70378,0.47974,1.04767,0.97516,0.97191,0.98712,0.85965,0.58834,0.31773,0.9901,0.000972414,0.000972414,0.000972414
65,323.622,0.67714,0.44605,1.0298,0.96485,0.9539,0.98796,0.81239,0.71156,0.37547,1.12238,0.000970214,0.000970214,0.000970214
66,333.564,0.6787,0.46263,1.03393,0.99032,0.97751,0.9898,0.86366,0.59386,0.30475,0.99825,0.000968014,0.000968014,0.000968014
67,343.501,0.67215,0.47328,1.02103,0.92994,0.95188,0.97602,0.82494,0.6548,0.42678,1.0744,0.000965815,0.000965815,0.000965815
68,353.16,0.69276,0.45986,1.0483,0.96609,0.945,0.97982,0.84671,0.62131,0.38124,1.02595,0.000963615,0.000963615,0.000963615
69,362.924,0.66374,0.44397,1.01946,0.97341,0.95438,0.98383,0.85622,0.58696,0.32639,1.01174,0.000961415,0.000961415,0.000961415
70,372.611,0.6687,0.44533,1.02385,0.9625,0.97969,0.98825,0.84951,0.60637,0.32889,1.0064,0.000959215,0.000959215,0.000959215
71,382.61,0.70169,0.47954,1.0374,0.95883,0.95184,0.98445,0.83909,0.63595,0.35041,1.04426,0.000957015,0.000957015,0.000957015
72,392.399,0.65706,0.43383,1.02683,0.91135,0.88256,0.97083,0.83688,0.62618,0.51394,1.02641,0.000954816,0.000954816,0.000954816
73,402.394,0.65979,0.45398,1.02459,0.9687,0.96403,0.98534,0.85065,0.60094,0.30775,1.00769,0.000952616,0.000952616,0.000952616
74,412.085,0.66643,0.42667,1.02127,0.94977,0.95318,0.97764,0.82269,0.66246,0.38241,1.07683,0.000950416,0.000950416,0.000950416
75,421.802,0.66534,0.44867,1.01805,0.9262,0.98339,0.97872,0.84235,0.63458,0.34713,1.03593,0.000948216,0.000948216,0.000948216
76,431.502,0.69499,0.45364,1.04435,0.97386,0.96854,0.98504,0.8372,0.66859,0.34101,1.06291,0.000946016,0.000946016,0.000946016
77,441.258,0.67625,0.44419,1.03147,0.95064,0.94998,0.98214,0.8615,0.60601,0.38764,1.01065,0.000943817,0.000943817,0.000943817
78,451.174,0.66312,0.44087,1.02313,0.95855,0.96171,0.98415,0.85339,0.61442,0.32594,1.01504,0.000941617,0.000941617,0.000941617
79,461.054,0.65933,0.42862,1.014,0.96099,0.95043,0.98786,0.86139,0.6148,0.33978,1.02072,0.000939417,0.000939417,0.000939417
80,470.993,0.67909,0.44051,1.0258,0.90438,0.95656,0.97981,0.8466,0.64032,0.41707,1.01892,0.000937217,0.000937217,0.000937217
81,480.709,0.67223,0.43974,1.02329,0.94912,0.93731,0.98456,0.83479,0.65741,0.38859,1.06165,0.000935018,0.000935018,0.000935018
82,490.36,0.66807,0.44173,1.01287,0.97367,0.95869,0.98727,0.86796,0.58705,0.2968,0.99442,0.000932818,0.000932818,0.000932818
83,500.107,0.66859,0.43384,1.02128,0.9619,0.98196,0.98939,0.86293,0.61343,0.30254,1.00381,0.000930618,0.000930618,0.000930618
84,509.993,0.66939,0.42687,1.02655,0.98275,0.9699,0.98991,0.8671,0.58597,0.28353,0.99085,0.000928418,0.000928418,0.000928418
85,519.895,0.6629,0.43136,1.01335,0.97612,0.97677,0.99119,0.86995,0.60132,0.30233,1.00259,0.000926218,0.000926218,0.000926218
86,529.788,0.6688,0.44187,1.02529,0.97681,0.96388,0.98233,0.83206,0.66645,0.32509,1.08683,0.000924019,0.000924019,0.000924019
87,539.562,0.67352,0.42321,1.0182,0.96641,0.9802,0.9854,0.8563,0.618,0.32212,1.01568,0.000921819,0.000921819,0.000921819
88,549.313,0.66874,0.4168,1.02468,0.97687,0.97344,0.98875,0.85282,0.62358,0.31423,1.01986,0.000919619,0.000919619,0.000919619
89,559.147,0.63574,0.42516,1.01298,0.97739,0.97712,0.98864,0.86515,0.59324,0.29396,0.99404,0.000917419,0.000917419,0.000917419
90,569.034,0.64022,0.42406,1.01438,0.96345,0.97893,0.98586,0.86426,0.60592,0.29662,1.00472,0.00091522,0.00091522,0.00091522
91,578.969,0.66721,0.4168,1.02907,0.97497,0.96794,0.98273,0.84844,0.61632,0.32514,1.02057,0.00091302,0.00091302,0.00091302
92,588.999,0.66467,0.4383,1.0196,0.98973,0.97684,0.99136,0.86786,0.60152,0.27676,0.99937,0.00091082,0.00091082,0.00091082
93,598.784,0.63867,0.39795,1.00837,0.93864,0.94561,0.98478,0.86204,0.6063,0.3369,1.0097,0.00090862,0.00090862,0.00090862
94,608.593,0.65546,0.40489,1.02095,0.97053,0.97537,0.98275,0.85228,0.62067,0.30779,1.0205,0.00090642,0.00090642,0.00090642
95,618.394,0.63253,0.38896,0.99762,0.98423,0.98441,0.99027,0.86283,0.60254,0.27119,1.00734,0.000904221,0.000904221,0.000904221
96,628.35,0.65449,0.40167,1.00753,0.96909,0.96387,0.9886,0.85652,0.62403,0.31152,1.01753,0.000902021,0.000902021,0.000902021
97,638.511,0.65077,0.40504,1.01222,0.98762,0.97223,0.99006,0.85814,0.61566,0.28473,1.0158,0.000899821,0.000899821,0.000899821
98,648.508,0.65057,0.40832,1.01776,0.96278,0.97719,0.98917,0.8632,0.60221,0.29514,1.00289,0.000897621,0.000897621,0.000897621
99,658.207,0.6363,0.40024,1.01764,0.97713,0.97114,0.98896,0.86552,0.59683,0.28551,1.00061,0.000895422,0.000895422,0.000895422
100,667.829,0.65575,0.40351,1.019,0.97066,0.97268,0.99073,0.86472,0.60548,0.29204,1.0078,0.000893222,0.000893222,0.000893222
101,677.447,0.62609,0.38627,1.00788,0.93279,0.95947,0.97903,0.83096,0.67439,0.36034,1.07466,0.000891022,0.000891022,0.000891022
102,687.267,0.64042,0.40468,1.00661,0.94273,0.97458,0.98841,0.84869,0.61843,0.3226,1.0199,0.000888822,0.000888822,0.000888822
103,697.137,0.6532,0.40631,1.00914,0.83382,0.87064,0.9308,0.76349,0.78255,0.61818,1.15285,0.000886622,0.000886622,0.000886622
104,706.968,0.64337,0.40071,1.0079,0.98333,0.95201,0.98872,0.86718,0.60305,0.3018,1.0065,0.000884423,0.000884423,0.000884423
