epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,456.558,0.8452,0.85479,1.43155,0.91195,0.87867,0.97357,0.77198,0.81874,0.58337,1.36178,0.00102081,0.00102081,0.00102081
43,467.198,0.85187,0.84341,1.43563,0.95978,0.94681,0.98508,0.75313,0.91883,0.49581,1.46655,0.00101861,0.00101861,0.00101861
44,477.646,0.85319,0.82988,1.42638,0.97409,0.95369,0.98452,0.82506,0.68084,0.44242,1.22933,0.00101641,0.00101641,0.00101641
45,487.966,0.85642,0.84937,1.45409,0.93482,0.92749,0.98051,0.76944,0.83842,0.52387,1.37392,0.00101421,0.00101421,0.00101421
46,498.118,0.85555,0.83574,1.44131,0.95079,0.91085,0.98039,0.80978,0.72465,0.49497,1.2661,0.00101201,0.00101201,0.00101201
47,508.737,0.8522,0.83631,1.44172,0.96383,0.96096,0.98517,0.78748,0.81458,0.46942,1.35497,0.00100981,0.00100981,0.00100981
48,519.14,0.82646,0.83814,1.41372,0.93202,0.94327,0.98107,0.79293,0.76403,0.52088,1.2973,0.00100761,0.00100761,0.00100761
49,529.741,0.82434,0.79437,1.41857,0.94505,0.94982,0.98313,0.79192,0.78727,0.46338,1.31148,0.00100541,0.00100541,0.00100541
50,539.717,0.86011,0.81267,1.43859,0.9164,0.9392,0.98164,0.78061,0.82254,0.54975,1.35114,0.00100321,0.00100321,0.00100321
51,550.092,0.83777,0.80995,1.42174,0.85739,0.82931,0.95205,0.76284,0.81594,0.76479,1.3502,0.00100101,0.00100101,0.00100101
52,560.557,0.83129,0.80427,1.40219,0.96905,0.93536,0.98108,0.80643,0.74208,0.4735,1.29741,0.000998811,0.000998811,0.000998811
53,571.238,0.82821,0.77565,1.41504,0.93235,0.92954,0.97394,0.76745,0.84613,0.49972,1.3802,0.000996611,0.000996611,0.000996611
54,581.389,0.82212,0.76473,1.405,0.95454,0.9361,0.97739,0.78675,0.80355,0.46676,1.34657,0.000994412,0.000994412,0.000994412
55,591.85,0.80387,0.73093,1.38731,0.92425,0.92097,0.97006,0.77753,0.80404,0.51866,1.35136,0.000992212,0.000992212,0.000992212
56,602.246,0.81951,0.76074,1.40343,0.89281,0.95028,0.96979,0.78468,0.77738,0.5258,1.32266,0.000990012,0.000990012,0.000990012
57,612.873,0.83975,0.75732,1.41412,0.95964,0.91746,0.97443,0.78981,0.76689,0.48835,1.30282,0.000987812,0.000987812,0.000987812
58,623.252,0.81293,0.75695,1.38167,0.97603,0.96509,0.98331,0.80679,0.72227,0.43464,1.27425,0.000985613,0.000985613,0.000985613
59,633.209,0.8013,0.74184,1.38582,0.98149,0.96905,0.98475,0.81067,0.77243,0.42376,1.30122,0.000983413,0.000983413,0.000983413
60,643.557,0.81373,0.74091,1.39887,0.97888,0.97404,0.98754,0.78953,0.82135,0.4273,1.3611,0.000981213,0.000981213,0.000981213
61,654.271,0.81651,0.72959,1.40381,0.98013,0.97777,0.98611,0.77246,0.84646,0.44194,1.38596,0.000979013,0.000979013,0.000979013
62,665.027,0.81175,0.74253,1.39116,0.94333,0.94994,0.98298,0.79542,0.76607,0.44709,1.31415,0.000976813,0.000976813,0.000976813
63,675.091,0.8094,0.79297,1.39185,0.97353,0.96229,0.98783,0.80537,0.76232,0.41432,1.30384,0.000974614,0.000974614,0.000974614
64,685.336,0.80157,0.72411,1.38738,0.95634,0.96643,0.98236,0.79323,0.79687,0.44966,1.33178,0.000972414,0.000972414,0.000972414
65,695.748,0.79437,0.70289,1.37899,0.93852,0.9692,0.98298,0.81975,0.69575,0.41703,1.23138,0.000970214,0.000970214,0.000970214
