epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,374.121,1.17856,1.45851,2.04797,0.81451,0.8512,0.90161,0.61794,1.14599,1.02307,2.26141,0.00101861,0.00101861,0.00101861
44,382.056,1.18335,1.44193,2.08373,0.83964,0.8614,0.90948,0.6517,0.98034,0.96035,2.07312,0.00101641,0.00101641,0.00101641
45,390.328,1.19668,1.4537,2.06453,0.79271,0.81198,0.88345,0.61593,1.08424,0.96876,2.1938,0.00101421,0.00101421,0.00101421
46,399.491,1.21729,1.49319,2.08453,0.78989,0.84151,0.87463,0.6132,1.06348,0.98146,2.13502,0.00101201,0.00101201,0.00101201
47,408.816,1.15962,1.43192,2.03835,0.78713,0.74792,0.83908,0.58114,1.10666,1.1547,2.25097,0.00100981,0.00100981,0.00100981
48,417.873,1.18236,1.46616,2.02857,0.82889,0.81418,0.88413,0.62962,1.02907,1.00958,2.11728,0.00100761,0.00100761,0.00100761
49,426.125,1.17797,1.48026,2.04192,0.81848,0.85434,0.90982,0.63975,1.06876,0.94276,2.17812,0.00100541,0.00100541,0.00100541
50,434.459,1.16693,1.38994,2.05084,0.8481,0.85065,0.90179,0.63858,1.01687,0.92763,2.13966,0.00100321,0.00100321,0.00100321
51,442.386,1.1587,1.43722,2.01974,0.84928,0.83714,0.92227,0.64926,1.04492,0.93473,2.12529,0.00100101,0.00100101,0.00100101
52,451.014,1.14936,1.40414,2.03971,0.82219,0.83671,0.88651,0.59419,1.18782,1.03076,2.31678,0.000998811,0.000998811,0.000998811
53,460.307,1.1707,1.33959,2.05579,0.84592,0.87544,0.92896,0.66489,0.98238,0.86308,2.08766,0.000996611,0.000996611,0.000996611
54,469.735,1.12981,1.35424,2.00512,0.83868,0.86332,0.92859,0.66567,1.02825,0.8771,2.11583,0.000994412,0.000994412,0.000994412
55,478.615,1.13313,1.4038,2.00911,0.81712,0.81801,0.87258,0.61901,1.01542,1.08289,2.11856,0.000992212,0.000992212,0.000992212
56,486.97,1.12065,1.35477,1.98847,0.84988,0.86222,0.91688,0.62039,1.16703,0.99492,2.32262,0.000990012,0.000990012,0.000990012
57,495.375,1.12774,1.32075,1.99949,0.8561,0.86485,0.92713,0.66244,1.07204,0.8777,2.1731,0.000987812,0.000987812,0.000987812
58,503.29,1.15994,1.36527,2.01742,0.87206,0.84111,0.92938,0.66968,0.97523,0.88583,2.07379,0.000985613,0.000985613,0.000985613
59,512.082,1.14771,1.33931,1.99711,0.8574,0.84257,0.91293,0.63665,1.0926,0.92965,2.22327,0.000983413,0.000983413,0.000983413
60,521.416,1.14557,1.40229,1.99986,0.90103,0.86244,0.93955,0.66678,1.03027,0.85926,2.13179,0.000981213,0.000981213,0.000981213
61,530.714,1.13163,1.30327,1.979,0.87543,0.85149,0.93222,0.65693,1.01261,0.83619,2.10999,0.000979013,0.000979013,0.000979013
62,539.043,1.13483,1.34308,1.99833,0.85719,0.89557,0.93734,0.6777,1.01854,0.86892,2.12314,0.000976813,0.000976813,0.000976813
63,547.485,1.13711,1.33815,1.99466,0.87595,0.86183,0.93485,0.67795,1.00178,0.82593,2.09501,0.000974614,0.000974614,0.000974614
64,555.677,1.13514,1.27238,2.00532,0.87548,0.89121,0.94635,0.68088,0.99711,0.82721,2.09475,0.000972414,0.000972414,0.000972414
65,564.04,1.11109,1.24619,1.95634,0.87685,0.85229,0.93023,0.66661,1.00973,0.83767,2.08524,0.000970214,0.000970214,0.000970214
