epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,429.429,0.74022,0.55629,1.21715,0.94099,0.92263,0.9632,0.75626,0.80683,0.51549,1.27918,0.00102081,0.00102081,0.00102081
43,439.209,0.75923,0.59147,1.2276,0.94093,0.95127,0.97678,0.77573,0.81655,0.42654,1.29532,0.00101861,0.00101861,0.00101861
44,449.142,0.75682,0.5645,1.20799,0.89659,0.79706,0.94498,0.75672,0.80436,0.63826,1.27376,0.00101641,0.00101641,0.00101641
45,458.964,0.75393,0.55622,1.21389,0.96487,0.93339,0.98193,0.77687,0.85861,0.45938,1.32008,0.00101421,0.00101421,0.00101421
46,468.948,0.75953,0.55401,1.21453,0.89765,0.71955,0.75327,0.60772,0.83163,1.03067,1.32969,0.00101201,0.00101201,0.00101201
47,478.816,0.72779,0.54697,1.19577,0.97231,0.94762,0.97738,0.77929,0.82235,0.41393,1.28028,0.00100981,0.00100981,0.00100981
48,488.61,0.74575,0.53846,1.21053,0.97405,0.9833,0.98842,0.81668,0.72622,0.35086,1.18669,0.00100761,0.00100761,0.00100761
49,498.511,0.73146,0.52489,1.2022,0.93003,0.90249,0.96611,0.79196,0.73762,0.45515,1.20126,0.00100541,0.00100541,0.00100541
50,508.515,0.76772,0.51928,1.21976,0.96174,0.92934,0.98196,0.80181,0.77327,0.40625,1.23942,0.00100321,0.00100321,0.00100321
51,518.337,0.72246,0.52073,1.18924,0.93404,0.96721,0.98567,0.82773,0.70984,0.4091,1.1703,0.00100101,0.00100101,0.00100101
52,528.1,0.73015,0.51381,1.19336,0.97562,0.96824,0.98047,0.81247,0.72146,0.36594,1.18482,0.000998811,0.000998811,0.000998811
53,537.757,0.73051,0.53109,1.19882,0.94204,0.90592,0.98508,0.81809,0.72793,0.42934,1.19382,0.000996611,0.000996611,0.000996611
54,547.519,0.73163,0.52807,1.20363,0.94547,0.94388,0.97689,0.78201,0.81763,0.48243,1.28301,0.000994412,0.000994412,0.000994412
55,557.362,0.71758,0.51284,1.18365,0.96973,0.966,0.98668,0.82042,0.7394,0.36819,1.20029,0.000992212,0.000992212,0.000992212
56,567.337,0.71604,0.53452,1.18031,0.95829,0.94687,0.97654,0.80741,0.76982,0.4197,1.22398,0.000990012,0.000990012,0.000990012
57,577.119,0.73668,0.50177,1.19693,0.85913,0.87386,0.93514,0.73521,0.85396,0.60099,1.33649,0.000987812,0.000987812,0.000987812
58,586.944,0.71648,0.48548,1.1859,0.9756,0.97026,0.98415,0.82829,0.6871,0.35553,1.15254,0.000985613,0.000985613,0.000985613
59,596.615,0.72474,0.49538,1.18913,0.93715,0.92776,0.95491,0.75243,0.82933,0.47707,1.28678,0.000983413,0.000983413,0.000983413
60,606.309,0.72177,0.49689,1.18391,0.87816,0.89903,0.97009,0.75194,0.85855,0.49445,1.35166,0.000981213,0.000981213,0.000981213
61,615.948,0.72877,0.50385,1.18601,0.95721,0.96502,0.98606,0.79493,0.78804,0.38655,1.25242,0.000979013,0.000979013,0.000979013
62,625.837,0.74516,0.4967,1.20836,0.95905,0.944,0.9794,0.8225,0.70868,0.40534,1.1602,0.000976813,0.000976813,0.000976813
63,635.686,0.72209,0.51121,1.18419,0.96309,0.9722,0.98704,0.80753,0.77847,0.37102,1.2187,0.000974614,0.000974614,0.000974614
64,645.479,0.73133,0.51276,1.19518,0.96609,0.94558,0.98641,0.80828,0.77393,0.39199,1.22582,0.000972414,0.000972414,0.000972414
65,655.289,0.71704,0.47355,1.18833,0.96759,0.9714,0.98309,0.79687,0.80402,0.37386,1.27222,0.000970214,0.000970214,0.000970214
66,665.039,0.7236,0.48326,1.19515,0.96252,0.95702,0.9873,0.82011,0.72155,0.37633,1.18424,0.000968014,0.000968014,0.000968014
67,674.814,0.71277,0.49006,1.18196,0.94922,0.94683,0.9782,0.79624,0.75907,0.39949,1.21456,0.000965815,0.000965815,0.000965815
68,684.699,0.72003,0.50148,1.18337,0.9278,0.94123,0.9681,0.76804,0.84364,0.48236,1.29112,0.000963615,0.000963615,0.000963615
69,694.454,0.69762,0.48051,1.166,0.96058,0.93881,0.97876,0.80339,0.75229,0.42374,1.21648,0.000961415,0.000961415,0.000961415
70,704.27,0.71518,0.45576,1.17638,0.98226,0.97329,0.98059,0.82126,0.69267,0.34814,1.16163,0.000959215,0.000959215,0.000959215
71,713.985,0.70166,0.4847,1.17588,0.95016,0.96612,0.98718,0.81568,0.76833,0.36518,1.21831,0.000957015,0.000957015,0.000957015
72,723.79,0.69981,0.47296,1.18833,0.92348,0.92445,0.9755,0.8233,0.69696,0.42727,1.16323,0.000954816,0.000954816,0.000954816
73,733.755,0.67781,0.45123,1.15274,0.92817,0.90767,0.96811,0.79806,0.74168,0.46989,1.19424,0.000952616,0.000952616,0.000952616
74,743.663,0.69129,0.4468,1.16448,0.97219,0.95216,0.98004,0.8091,0.74364,0.37819,1.22599,0.000950416,0.000950416,0.000950416
75,753.439,0.67545,0.45152,1.15662,0.96356,0.91651,0.97699,0.80497,0.73572,0.42523,1.19196,0.000948216,0.000948216,0.000948216
76,763.29,0.68858,0.47319,1.16632,0.96474,0.95906,0.98548,0.85189,0.65179,0.33245,1.12041,0.000946016,0.000946016,0.000946016
77,772.957,0.68611,0.45699,1.16218,0.96315,0.97488,0.9875,0.81139,0.76418,0.34371,1.21038,0.000943817,0.000943817,0.000943817
78,782.625,0.67912,0.46348,1.15844,0.90328,0.92142,0.96489,0.75744,0.81171,0.50905,1.34381,0.000941617,0.000941617,0.000941617
79,792.211,0.65594,0.43234,1.13459,0.97676,0.97464,0.98588,0.83402,0.69292,0.32638,1.16483,0.000939417,0.000939417,0.000939417
80,801.924,0.67309,0.41825,1.14832,0.98094,0.96435,0.98727,0.84281,0.67038,0.34122,1.14054,0.000937217,0.000937217,0.000937217
81,811.736,0.68075,0.44147,1.16378,0.93255,0.964,0.98515,0.83592,0.68606,0.38138,1.15318,0.000935018,0.000935018,0.000935018
82,821.502,0.66377,0.43642,1.1413,0.96522,0.93181,0.98698,0.82843,0.67529,0.3753,1.14517,0.000932818,0.000932818,0.000932818
83,831.261,0.68285,0.46121,1.15851,0.97143,0.95949,0.98364,0.80852,0.74877,0.36493,1.21845,0.000930618,0.000930618,0.000930618
84,840.932,0.64335,0.45723,1.12731,0.95954,0.97188,0.9877,0.8175,0.75212,0.3659,1.21583,0.000928418,0.000928418,0.000928418
85,850.576,0.6527,0.4277,1.13938,0.97059,0.95037,0.98707,0.82302,0.70298,0.35725,1.17797,0.000926218,0.000926218,0.000926218
86,860.325,0.67878,0.46775,1.1545,0.97424,0.93198,0.98552,0.83886,0.65669,0.36184,1.12559,0.000924019,0.000924019,0.000924019
87,870.045,0.66772,0.44594,1.15047,0.98024,0.97457,0.9879,0.8474,0.63626,0.30463,1.12223,0.000921819,0.000921819,0.000921819
88,879.743,0.65112,0.42387,1.12881,0.95146,0.96181,0.98473,0.83766,0.66405,0.37424,1.14481,0.000919619,0.000919619,0.000919619
89,889.567,0.64312,0.42439,1.12611,0.96983,0.96973,0.98747,0.77552,0.88611,0.37028,1.39675,0.000917419,0.000917419,0.000917419
90,899.391,0.67293,0.45541,1.14119,0.99001,0.97292,0.98483,0.8425,0.63561,0.31826,1.11224,0.00091522,0.00091522,0.00091522
91,909.19,0.66062,0.42047,1.1391,0.97342,0.97903,0.98693,0.83153,0.68325,0.34055,1.14664,0.00091302,0.00091302,0.00091302
92,918.898,0.66212,0.44355,1.13283,0.98091,0.95648,0.98561,0.84944,0.62895,0.32288,1.1104,0.00091082,0.00091082,0.00091082
93,928.61,0.66209,0.43626,1.13529,0.97207,0.9535,0.97272,0.79917,0.73296,0.40736,1.20971,0.00090862,0.00090862,0.00090862
94,938.359,0.65032,0.42434,1.14089,0.96173,0.96725,0.98618,0.83152,0.688,0.35208,1.15977,0.00090642,0.00090642,0.00090642
95,948.23,0.6402,0.41561,1.13375,0.9778,0.97566,0.98698,0.83171,0.69025,0.33344,1.16854,0.000904221,0.000904221,0.000904221
96,957.988,0.66023,0.42156,1.14783,0.97637,0.97463,0.98782,0.85398,0.6237,0.30342,1.10327,0.000902021,0.000902021,0.000902021
97,967.66,0.64641,0.42175,1.12708,0.9756,0.97651,0.98952,0.8404,0.68945,0.32262,1.15323,0.000899821,0.000899821,0.000899821
98,977.526,0.66705,0.45164,1.15561,0.99147,0.97443,0.98836,0.83235,0.67507,0.3235,1.14703,0.000897621,0.000897621,0.000897621
99,987.385,0.63889,0.40201,1.12704,0.96645,0.96744,0.98015,0.84675,0.63633,0.34785,1.10631,0.000895422,0.000895422,0.000895422
100,997.419,0.66516,0.43425,1.13964,0.96504,0.96283,0.98569,0.82793,0.68703,0.36736,1.16493,0.000893222,0.000893222,0.000893222
101,1007.43,0.644,0.40744,1.12949,0.94126,0.95318,0.98465,0.81946,0.6858,0.41475,1.17412,0.000891022,0.000891022,0.000891022
102,1017.28,0.64738,0.41057,1.12109,0.97962,0.97599,0.98552,0.84539,0.64009,0.31665,1.12362,0.000888822,0.000888822,0.000888822
103,1027.05,0.6492,0.42032,1.12636,0.98133,0.97138,0.98893,0.84809,0.67605,0.307,1.15909,0.000886622,0.000886622,0.000886622
104,1036.73,0.64532,0.43366,1.12792,0.98161,0.96422,0.98707,0.85098,0.62192,0.31463,1.10158,0.000884423,0.000884423,0.000884423
105,1046.39,0.62485,0.42646,1.11206,0.97409,0.96941,0.98377,0.8359,0.67638,0.33189,1.14765,0.000882223,0.000882223,0.000882223
106,1056.22,0.63367,0.42218,1.11311,0.97223,0.98262,0.98947,0.85393,0.6393,0.30733,1.12408,0.000880023,0.000880023,0.000880023
107,1066.02,0.6558,0.41959,1.13772,0.98842,0.97325,0.98931,0.85336,0.62827,0.29981,1.11444,0.000877823,0.000877823,0.000877823
108,1075.88,0.64293,0.43587,1.12613,0.9878,0.95907,0.98868,0.84278,0.64608,0.30453,1.12938,0.000875624,0.000875624,0.000875624
109,1085.65,0.63187,0.40015,1.11551,0.98288,0.98047,0.98863,0.84883,0.63792,0.30746,1.12045,0.000873424,0.000873424,0.000873424
110,1095.33,0.64638,0.43457,1.1281,0.99368,0.9703,0.98796,0.85257,0.64187,0.31503,1.12227,0.000871224,0.000871224,0.000871224
111,1104.97,0.63808,0.41581,1.12966,0.99164,0.98045,0.98931,0.862,0.61977,0.28436,1.09835,0.000869024,0.000869024,0.000869024
112,1114.84,0.63775,0.41084,1.122,0.95581,0.97641,0.98772,0.84652,0.64396,0.32244,1.12127,0.000866824,0.000866824,0.000866824
113,1124.61,0.63494,0.39781,1.11559,0.97802,0.98925,0.99006,0.85493,0.61809,0.28312,1.09895,0.000864625,0.000864625,0.000864625
114,1134.46,0.62391,0.40577,1.10909,0.9839,0.96987,0.98417,0.84267,0.63419,0.3282,1.12202,0.000862425,0.000862425,0.000862425
115,1144.24,0.6289,0.39447,1.1241,0.97158,0.97251,0.98215,0.82632,0.7014,0.33089,1.18207,0.000860225,0.000860225,0.000860225
116,1153.92,0.61009,0.39664,1.11257,0.95579,0.92542,0.97234,0.81562,0.68737,0.44243,1.16369,0.000858025,0.000858025,0.000858025
117,1163.56,0.61919,0.39599,1.10768,0.97865,0.98536,0.98823,0.85767,0.65091,0.31858,1.12769,0.000855826,0.000855826,0.000855826
118,1173.27,0.63429,0.39331,1.12317,0.96144,0.92619,0.98663,0.82781,0.70593,0.38116,1.18228,0.000853626,0.000853626,0.000853626
119,1183.18,0.62196,0.39345,1.10589,0.98316,0.9848,0.98816,0.85815,0.63692,0.30642,1.11694,0.000851426,0.000851426,0.000851426
120,1192.92,0.62622,0.40002,1.11918,0.97386,0.97291,0.98646,0.85015,0.63515,0.30771,1.11642,0.000849226,0.000849226,0.000849226
121,1202.8,0.62015,0.39191,1.11678,0.98436,0.97457,0.98865,0.8551,0.61838,0.29733,1.0992,0.000847026,0.000847026,0.000847026
122,1212.45,0.61519,0.39768,1.11184,0.98218,0.97287,0.98738,0.84675,0.64394,0.3065,1.11822,0.000844827,0.000844827,0.000844827
123,1222.25,0.63628,0.407,1.12135,0.97378,0.97893,0.98826,0.8546,0.62414,0.30003,1.10631,0.000842627,0.000842627,0.000842627
124,1232.15,0.63654,0.4045,1.11721,0.96246,0.97654,0.98789,0.83301,0.6945,0.31799,1.17223,0.000840427,0.000840427,0.000840427
125,1242.16,0.61609,0.39678,1.1001,0.95605,0.93659,0.98518,0.83612,0.67447,0.3548,1.16115,0.000838227,0.000838227,0.000838227
126,1252.11,0.63581,0.39492,1.11946,0.97324,0.96002,0.98207,0.8417,0.65377,0.31776,1.13125,0.000836027,0.000836027,0.000836027
127,1261.79,0.61615,0.39566,1.09572,0.97614,0.96187,0.98676,0.84824,0.6458,0.31549,1.13796,0.000833828,0.000833828,0.000833828
128,1271.42,0.61464,0.3809,1.10635,0.9768,0.96872,0.98568,0.84485,0.65846,0.32372,1.14613,0.000831628,0.000831628,0.000831628
